rdt_id,cause_group,rdt_lines,start_hour,day_of_week,month,is_weekend,number_of_affected_stations,number_of_affected_lines,long_disruption
62799,external,"Amsterdam Centraal - Utrecht Centraal, Schiphol Airport - Utrecht Centraal",21,Sunday,10,1,4,2.0,0
62800,rolling stock,Aachen Hbf - Heerlen,2,Monday,10,0,6,1.0,1
62801,external,Groningen - Leeuwarden,6,Monday,10,0,9,1.0,0
62802,engineering work,Amsterdam Centraal - Haarlem,7,Monday,10,0,4,1.0,1
62803,rolling stock,Den Haag HS - Rotterdam Centraal,9,Monday,10,0,4,1.0,0
62804,rolling stock,Den Haag HS - Rotterdam Centraal,10,Monday,10,0,4,1.0,0
62805,rolling stock,"Amsterdam Centraal - Schiphol Airport, Leiden Centraal - Schiphol Airport, Schiphol Airport - Zaandam",10,Monday,10,0,4,3.0,0
62807,rolling stock,"Den Haag Centraal - Den Haag HS, Den Haag Centraal - Leiden Centraal, Den Haag HS - Leiden Centraal, Den Haag HS - Rotterdam Centraal",10,Monday,10,0,13,4.0,0
62808,staff,"Bielefeld Hbf - Hengelo, Hengelo - Oldenzaal",10,Monday,10,0,8,2.0,1
62810,infrastructure,Almere Oostvaarders - Utrecht Centraal,12,Monday,10,0,3,1.0,1
62812,infrastructure,"'s-Hertogenbosch - Eindhoven, Eindhoven - Tilburg",13,Monday,10,0,4,2.0,0
62813,rolling stock,Breda - Rotterdam Centraal (HSL),16,Monday,10,0,2,1.0,0
62815,engineering work,Rotterdam Centraal - Utrecht Centraal,17,Monday,10,0,6,1.0,1
62816,rolling stock,Nijmegen - Venlo,17,Monday,10,0,7,1.0,1
62817,external,'s-Hertogenbosch - Tilburg,20,Monday,10,0,2,1.0,0
62818,rolling stock,Schiphol Airport - Utrecht Centraal,21,Monday,10,0,10,1.0,1
62819,infrastructure,Almelo - Deventer,5,Tuesday,10,0,6,1.0,1
62820,rolling stock,Breda - Rotterdam Centraal (HSL),7,Tuesday,10,0,2,1.0,0
62821,infrastructure,"Den Haag Centraal - Den Haag HS, Den Haag HS - Rotterdam Centraal",10,Tuesday,10,0,8,2.0,1
62822,infrastructure,Eindhoven - Venlo,11,Tuesday,10,0,6,1.0,0
62823,rolling stock,"Berlin Ostbahnhof - Hengelo, Bielefeld Hbf - Hengelo, Hengelo - Oldenzaal",11,Tuesday,10,0,4,3.0,1
62824,rolling stock,Nijmegen - Venlo,11,Tuesday,10,0,7,1.0,1
62825,rolling stock,Roermond - Sittard,12,Tuesday,10,0,4,1.0,0
62826,infrastructure,Heerlen - Sittard,12,Tuesday,10,0,7,1.0,1
62827,infrastructure,Heerlen - Sittard,14,Tuesday,10,0,7,1.0,1
62828,rolling stock,"Antwerpen-Centraal - Breda (HSL), Breda - Rotterdam Centraal (HSL)",14,Tuesday,10,0,3,2.0,0
62829,rolling stock,Arnhem Centraal - Zutphen,15,Tuesday,10,0,6,1.0,1
62830,external,Breda - Rotterdam Centraal (HSL),15,Tuesday,10,0,2,1.0,1
62831,rolling stock,Amersfoort - Apeldoorn,15,Tuesday,10,0,2,1.0,0
62832,infrastructure,'s-Hertogenbosch - Tilburg,16,Tuesday,10,0,2,1.0,1
62833,rolling stock,"Berlin Ostbahnhof - Hengelo, Bielefeld Hbf - Hengelo, Hengelo - Oldenzaal",17,Tuesday,10,0,4,3.0,1
62834,external,Dordrecht - Rotterdam Centraal,19,Tuesday,10,0,8,1.0,1
62835,logistical,"Breda - Rotterdam Centraal (HSL), Brussel-Zuid/Midi - Rotterdam Centraal (HSL), Den Haag HS - Rotterdam Centraal, Dordrecht - Rotterdam Centraal, Paris-Nord - Rotterdam Centraal (HSL), Rotterdam Centraal - Schiphol Airport (HSL), Rotterdam Centraal - Utrecht Centraal",20,Tuesday,10,0,2,7.0,0
62836,rolling stock,"Almere Oostvaarders - Utrecht Centraal, Amsterdam Centraal - Lelystad Centrum, Lelystad Centrum - Schiphol Airport",20,Tuesday,10,0,5,3.0,1
62837,rolling stock,Liège-Guillemins - Maastricht,20,Tuesday,10,0,3,1.0,1
62838,external,Alkmaar - Den Helder,20,Tuesday,10,0,2,1.0,0
62840,engineering work,"Den Haag HS - Rotterdam Centraal, Dordrecht - Rotterdam Centraal",5,Wednesday,10,0,14,2.0,0
62841,engineering work,"Den Haag HS - Rotterdam Centraal, Dordrecht - Rotterdam Centraal",5,Wednesday,10,0,14,2.0,1
62843,rolling stock,Haarlem - Zandvoort aan Zee,5,Wednesday,10,0,3,1.0,0
62844,rolling stock,"Berlin Ostbahnhof - Hengelo, Bielefeld Hbf - Hengelo, Hengelo - Oldenzaal",8,Wednesday,10,0,4,3.0,1
62845,rolling stock,"Almere Oostvaarders - Utrecht Centraal, Amsterdam Centraal - Lelystad Centrum, Lelystad Centrum - Schiphol Airport",8,Wednesday,10,0,4,3.0,0
62846,infrastructure,Groningen - Leeuwarden,9,Wednesday,10,0,4,1.0,0
62847,logistical,"Groningen - Bad Nieuweschans, Groningen - Leer (Ostfriesland), Groningen - Veendam, Groningen - Zwolle",9,Wednesday,10,0,2,4.0,0
62848,logistical,Groningen - Leeuwarden,9,Wednesday,10,0,3,1.0,0
62849,rolling stock,"Antwerpen-Centraal - Breda (HSL), Breda - Rotterdam Centraal (HSL)",10,Wednesday,10,0,3,2.0,0
62850,infrastructure,Breda - Rotterdam Centraal (HSL),14,Wednesday,10,0,2,1.0,1
62851,rolling stock,Rhenen - Utrecht Centraal,15,Wednesday,10,0,2,1.0,1
62853,rolling stock,Arnhem Centraal - Utrecht Centraal,17,Wednesday,10,0,4,1.0,0
62854,rolling stock,Arnhem Centraal - Nijmegen,17,Wednesday,10,0,5,1.0,0
62855,rolling stock,Breda - Rotterdam Centraal (HSL),18,Wednesday,10,0,2,1.0,1
62856,rolling stock,Heerlen - Sittard,18,Wednesday,10,0,7,1.0,1
62857,rolling stock,"Den Haag Centraal - Den Haag HS, Den Haag HS - Rotterdam Centraal, Dordrecht - Rotterdam Centraal",18,Wednesday,10,0,15,3.0,0
62858,rolling stock,Rotterdam Centraal - Schiphol Airport (HSL),19,Wednesday,10,0,2,1.0,0
62859,rolling stock,'s-Hertogenbosch - Nijmegen,20,Wednesday,10,0,5,1.0,0
62861,staff,Aachen Hbf - Heerlen,4,Thursday,10,0,6,1.0,1
62862,rolling stock,"Den Haag Centraal - Utrecht Centraal, Leiden Centraal - Utrecht Centraal, Rotterdam Centraal - Utrecht Centraal",5,Thursday,10,0,5,3.0,0
62863,rolling stock,Eindhoven - Roermond,6,Thursday,10,0,2,1.0,0
62864,rolling stock,"Amersfoort - Amsterdam Centraal, Amersfoort - Schiphol Airport",7,Thursday,10,0,3,2.0,1
62865,rolling stock,Arnhem Centraal - Zutphen,7,Thursday,10,0,8,1.0,0
62867,infrastructure,"Den Haag Centraal - Utrecht Centraal, Rotterdam Centraal - Utrecht Centraal",8,Thursday,10,0,3,2.0,1
62868,rolling stock,Nijmegen - Venlo,9,Thursday,10,0,3,1.0,0
62869,rolling stock,Antwerpen-Centraal - Roosendaal,9,Thursday,10,0,2,1.0,0
62870,engineering work,'s-Hertogenbosch - Utrecht Centraal,11,Thursday,10,0,3,1.0,1
62871,logistical,Amsterdam Centraal - Utrecht Centraal,11,Thursday,10,0,11,1.0,1
62872,rolling stock,'s-Hertogenbosch - Nijmegen,14,Thursday,10,0,5,1.0,0
62873,logistical,"Den Haag Centraal - Den Haag HS, Den Haag HS - Rotterdam Centraal, Dordrecht - Rotterdam Centraal",15,Thursday,10,0,15,3.0,1
62874,logistical,"Breda - Dordrecht, Dordrecht - Roosendaal",15,Thursday,10,0,3,2.0,1
62875,logistical,Rotterdam Centraal - Schiphol Airport (HSL),15,Thursday,10,0,2,1.0,1
62876,logistical,Lelystad Centrum - Schiphol Airport,15,Thursday,10,0,13,1.0,1
62877,rolling stock,Alkmaar - Den Helder,15,Thursday,10,0,5,1.0,0
62878,infrastructure,Den Haag HS - Rotterdam Centraal,16,Thursday,10,0,4,1.0,0
62879,rolling stock,Eindhoven - Venlo,17,Thursday,10,0,4,1.0,0
62880,rolling stock,Dordrecht - Roosendaal,18,Thursday,10,0,4,1.0,0
62882,external,Amersfoort - Zwolle,18,Thursday,10,0,7,1.0,0
62883,accidents,"Groningen - Bad Nieuweschans, Groningen - Leer (Ostfriesland)",18,Thursday,10,0,4,2.0,0
62884,rolling stock,Breda - Rotterdam Centraal (HSL),19,Thursday,10,0,2,1.0,0
62885,rolling stock,"Amersfoort - Schiphol Airport, Lelystad Centrum - Schiphol Airport, Rotterdam Centraal - Schiphol Airport (HSL), Schiphol Airport - Utrecht Centraal",21,Thursday,10,0,3,4.0,0
62886,rolling stock,Nijmegen - Venlo,22,Thursday,10,0,5,1.0,1
62887,accidents,"Almere Oostvaarders - Utrecht Centraal, Amsterdam Centraal - Lelystad Centrum, Lelystad Centrum - Schiphol Airport",23,Thursday,10,0,4,3.0,1
62889,rolling stock,Arnhem Centraal - Zutphen,7,Friday,10,0,8,1.0,0
62890,rolling stock,"Berlin Ostbahnhof - Hengelo, Bielefeld Hbf - Hengelo, Hengelo - Oldenzaal",8,Friday,10,0,4,3.0,1
62892,rolling stock,Haarlem - Zandvoort aan Zee,10,Friday,10,0,3,1.0,0
62893,rolling stock,"Amersfoort - Schiphol Airport, Lelystad Centrum - Schiphol Airport, Rotterdam Centraal - Schiphol Airport (HSL), Schiphol Airport - Utrecht Centraal",13,Friday,10,0,3,4.0,1
62894,rolling stock,Leiden Centraal - Schiphol Airport,15,Friday,10,0,2,1.0,0
62895,infrastructure,"Amersfoort - Schiphol Airport, Amsterdam Centraal - Schiphol Airport, Leiden Centraal - Schiphol Airport, Lelystad Centrum - Schiphol Airport, Rotterdam Centraal - Schiphol Airport (HSL), Schiphol Airport - Utrecht Centraal, Schiphol Airport - Zaandam",15,Friday,10,0,2,7.0,0
